video_name,fps,url,group_id,video_id,thumbnail
L21_V001,30.0,https://youtube.com/watch?v=Rzpw5WR7nAY,L21,V001,https://i.ytimg.com/vi/Rzpw5WR7nAY/sddefault.jpg?v=66ab0d4e
L21_V002,30.0,https://youtube.com/watch?v=qqC4FLMNLdI,L21,V002,https://i.ytimg.com/vi/qqC4FLMNLdI/sddefault.jpg?v=66ac56ca
L21_V003,25.0,https://youtube.com/watch?v=JrDeTiLY0u8,L21,V003,https://i.ytimg.com/vi/JrDeTiLY0u8/sddefault.jpg?v=66adb77d
L21_V005,30.0,https://youtube.com/watch?v=GT5KeMmD5Sw,L21,V005,https://i.ytimg.com/vi/GT5KeMmD5Sw/sddefault.jpg?v=66b04719
L21_V006,30.0,https://youtube.com/watch?v=HphV3ZNfA5A,L21,V006,https://i.ytimg.com/vi/HphV3ZNfA5A/sddefault.jpg?v=66b197fa
L21_V007,30.0,https://youtube.com/watch?v=XGkqs8JOkUE,L21,V007,https://i.ytimg.com/vi/XGkqs8JOkUE/sddefault.jpg?v=66b2f68f
L21_V008,25.0,https://youtube.com/watch?v=VfiS267Cq8Q,L21,V008,https://i.ytimg.com/vi/VfiS267Cq8Q/sddefault.jpg?v=66b4542c
L21_V009,25.0,https://youtube.com/watch?v=jRmRk5Fhfnk,L21,V009,https://i.ytimg.com/vi/jRmRk5Fhfnk/sddefault.jpg?v=66b59c9c
L21_V010,25.0,https://youtube.com/watch?v=JafrhS13ukg,L21,V010,https://i.ytimg.com/vi/JafrhS13ukg/sddefault.jpg?v=66b6e7ba
L21_V011,25.0,https://youtube.com/watch?v=uQuY24hJrqQ,L21,V011,https://i.ytimg.com/vi/uQuY24hJrqQ/sddefault.jpg?v=66b84bf5
L21_V012,30.0,https://youtube.com/watch?v=cwMcSunEakw,L21,V012,https://i.ytimg.com/vi/cwMcSunEakw/sddefault.jpg?v=66b981da
